,ArticleIds,AuthorList,DOI,EPubDate,FullJournalName,Id,Issue,Item,Pages,PubDate,SO,Source,Title,Volume
0,"{'pubmed': [], 'medline': [], 'pmid': '0', 'doi': '10.3389/fphys.2017.00582', 'pmcid': 'PMC5573740'}","['Koenig J', 'Rash JA', 'Campbell TS', 'Thayer JF', 'Kaess M']",10.3389/fphys.2017.00582,2017 Aug 24,Frontiers in Physiology,5573740,,[],582,2017 Aug 24,2017 Aug 24;8:582,Front Physiol,A Meta-Analysis on Sex Differences in Resting-State Vagal Activity in Children and Adolescents,8
1,"{'pubmed': [], 'medline': [], 'pmid': '28811601', 'doi': '10.1038/s41598-017-08730-3', 'pmcid': 'PMC5557757'}","['Fukuyama H', 'Kumagaya SI', 'Asada K', 'Ayaya S', 'Kato M']",10.1038/s41598-017-08730-3,2017 Aug 15,Scientific Reports,5557757,,[],8259,2017 Aug 15,2017 Aug 15;7:8259,Sci Rep,Autonomic versus perceptual accounts for tactile hypersensitivity in autism spectrum disorder,7
2,"{'pubmed': [], 'medline': [], 'pmid': '28808334', 'doi': '10.1038/s41598-017-07171-2', 'pmcid': 'PMC5556092'}","['Bernardi NF', 'Snow S', 'Peretz I', 'Orozco Perez HD', 'Sabet-Kassouf N', 'Lehmann A']",10.1038/s41598-017-07171-2,2017 Aug 14,Scientific Reports,5556092,,[],8113,2017 Aug 14,2017 Aug 14;7:8113,Sci Rep,Cardiorespiratory optimization during improvised singing and toning,7
3,"{'pubmed': [], 'medline': [], 'pmid': '28848382', 'doi': '10.3389/fnins.2017.00456', 'pmcid': 'PMC5554345'}","['Bourdillon N', 'Schmitt L', 'Yazdani S', 'Vesin JM', 'Millet GP']",10.3389/fnins.2017.00456,2017 Aug 10,Frontiers in Neuroscience,5554345,,[],456,2017 Aug 10,2017 Aug 10;11:456,Front Neurosci,Minimal Window Duration for Accurate HRV Recording in Athletes,11
4,"{'pubmed': [], 'medline': [], 'pmid': '28771487', 'doi': '10.1371/journal.pone.0181448', 'pmcid': 'PMC5542430'}","['Moss TJ', 'Clark MT', 'Calland JF', 'Enfield KB', 'Voss JD', 'Lake DE', 'Moorman JR']",10.1371/journal.pone.0181448,2017 Aug 3,PLoS ONE,5542430,8,[],e0181448,2017 Aug 3,2017 Aug 3;12(8):e0181448,PLoS One,Cardiorespiratory dynamics measured from continuous ECG monitoring improves detection of deterioration in acute care patients: A retrospective cohort study,12
5,"{'pubmed': [], 'medline': [], 'pmid': '28824913', 'doi': '10.3389/fmed.2017.00124', 'pmcid': 'PMC5534856'}","['Lamb DG', 'Porges EC', 'Lewis GF', 'Williamson JB']",10.3389/fmed.2017.00124,2017 Jul 31,Frontiers in Medicine,5534856,,[],124,2017 Jul 31,2017 Jul 31;4:124,Front Med (Lausanne),Non-invasive Vagal Nerve Stimulation Effects on Hyperarousal and Autonomic State in Patients with Posttraumatic Stress Disorder and History of Mild Traumatic Brain Injury: Preliminary Evidence,4
6,"{'pubmed': [], 'medline': [], 'pmid': '28742137', 'doi': '10.1371/journal.pone.0180765', 'pmcid': 'PMC5524402'}","['Sato D', 'Yamazaki Y', 'Takahashi A', 'Uetake Y', 'Nakano S', 'Iguchi K', 'Baba Y', 'Nara R', 'Shimoyama Y']",10.1371/journal.pone.0180765,2017 Jul 24,PLoS ONE,5524402,7,[],e0180765,2017 Jul 24,2017 Jul 24;12(7):e0180765,PLoS One,Water immersion decreases sympathetic skin response during color–word Stroop test,12
7,"{'pubmed': [], 'medline': [], 'pmid': '28790873', 'doi': '10.2147/PRBM.S91200', 'pmcid': 'PMC5530857'}","['Lieneman CC', 'Brabson LA', 'Highlander A', 'Wallace NM', 'McNeil CB']",10.2147/PRBM.S91200,2017 Jul 20,Psychology Research and Behavior Management,5530857,,[],239-256,2017 Jul 20,2017 Jul 20;10:239-256,Psychol Res Behav Manag,Parent–Child Interaction Therapy: current perspectives,10
8,"{'pubmed': [], 'medline': [], 'pmid': '28727839', 'doi': '10.1371/journal.pone.0181632', 'pmcid': 'PMC5519181'}","['Potočnik N', 'Perše M', 'Cerar A', 'Injac R', 'Finderle Ž']",10.1371/journal.pone.0181632,2017 Jul 20,PLoS ONE,5519181,7,[],e0181632,2017 Jul 20,2017 Jul 20;12(7):e0181632,PLoS One,Cardiac autonomic modulation induced by doxorubicin in a rodent model of colorectal cancer and the influence of fullerenol pretreatment,12
9,"{'pubmed': [], 'medline': [], 'pmid': '28720883', 'doi': '10.1038/s41598-017-05984-9', 'pmcid': 'PMC5515999'}","['Gomes PM', 'Sá RW', 'Aguiar GL', 'Paes MH', 'Alzamora AC', 'Lima WG', 'de Oliveira LB', 'Stocker SD', 'Antunes VR', 'Cardoso LM']",10.1038/s41598-017-05984-9,2017 Jul 18,Scientific Reports,5515999,,[],5655,2017 Jul 18,2017 Jul 18;7:5655,Sci Rep,Chronic high-sodium diet intake after weaning lead to neurogenic hypertension in adult Wistar rats,7
10,"{'pubmed': [], 'medline': [], 'pmid': '28679490', 'doi': '10.2196/mhealth.7208', 'pmcid': 'PMC5517820'}","['Weenk M', 'van Goor H', 'Frietman B', 'Engelen LJ', 'van Laarhoven CJ', 'Smit J', 'Bredie SJ', 'van de Belt TH']",10.2196/mhealth.7208,2017 Jul 5,JMIR mHealth and uHealth,5517820,7,[],e91,2017 Jul 5,2017 Jul 5;5(7):e91,JMIR Mhealth Uhealth,Continuous Monitoring of Vital Signs Using Wearable Devices on the General Ward: Pilot Study,5
11,"{'pubmed': [], 'medline': [], 'pmid': '28673269', 'doi': '10.1186/s12890-017-0436-0', 'pmcid': 'PMC5496256'}","['Liu Y', 'Tao T', 'Li W', 'Bo Y']",10.1186/s12890-017-0436-0,2017 Jul 3,BMC Pulmonary Medicine,5496256,,[],98,2017 Jul 3,2017 Jul 3;17:98,BMC Pulm Med,Regulating autonomic nervous system homeostasis improves pulmonary function in rabbits with acute lung injury,17
