,ArticleIds,AuthorList,DOI,EPubDate,FullJournalName,Id,Issue,Item,Pages,PubDate,SO,Source,Title,Volume,cites,citedby
0,"{'pubmed': [], 'medline': [], 'pmid': '0', 'doi': '10.3389/fphys.2017.00582', 'pmcid': 'PMC5573740'}","['Koenig J', 'Rash JA', 'Campbell TS', 'Thayer JF', 'Kaess M']",10.3389/fphys.2017.00582,2017 Aug 24,Frontiers in Physiology,5573740,,[],582,2017 Aug 24,2017 Aug 24;8:582,Front Physiol,A Meta-Analysis on Sex Differences in Resting-State Vagal Activity in Children and Adolescents,8,[],[]
1,"{'pubmed': [], 'medline': [], 'pmid': '28811601', 'doi': '10.1038/s41598-017-08730-3', 'pmcid': 'PMC5557757'}","['Fukuyama H', 'Kumagaya SI', 'Asada K', 'Ayaya S', 'Kato M']",10.1038/s41598-017-08730-3,2017 Aug 15,Scientific Reports,5557757,,[],8259,2017 Aug 15,2017 Aug 15;7:8259,Sci Rep,Autonomic versus perceptual accounts for tactile hypersensitivity in autism spectrum disorder,7,"['5481487', '5376601', '4869810', '4726659', '4601930', '4044368', '3976859', '3638059', '3624948', '3517930', '3474892', '3340566', '3207504', '2776488', '2677592', '2374789', '2185746', '1987714']",[]
2,"{'pubmed': [], 'medline': [], 'pmid': '28808334', 'doi': '10.1038/s41598-017-07171-2', 'pmcid': 'PMC5556092'}","['Bernardi NF', 'Snow S', 'Peretz I', 'Orozco Perez HD', 'Sabet-Kassouf N', 'Lehmann A']",10.1038/s41598-017-07171-2,2017 Aug 14,Scientific Reports,5556092,,[],8113,2017 Aug 14,2017 Aug 14;7:8113,Sci Rep,Cardiorespiratory optimization during improvised singing and toning,7,"['4162643', '4114289', '3705176', '3655580', '3495772', '61046']",[]
3,"{'pubmed': [], 'medline': [], 'pmid': '28848382', 'doi': '10.3389/fnins.2017.00456', 'pmcid': 'PMC5554345'}","['Bourdillon N', 'Schmitt L', 'Yazdani S', 'Vesin JM', 'Millet GP']",10.3389/fnins.2017.00456,2017 Aug 10,Frontiers in Neuroscience,5554345,,[],456,2017 Aug 10,2017 Aug 10;11:456,Front Neurosci,Minimal Window Duration for Accurate HRV Recording in Athletes,11,"['4652221', '4586373', '4126289', '3936188', '3741143']",[]
4,"{'pubmed': [], 'medline': [], 'pmid': '28771487', 'doi': '10.1371/journal.pone.0181448', 'pmcid': 'PMC5542430'}","['Moss TJ', 'Clark MT', 'Calland JF', 'Enfield KB', 'Voss JD', 'Lake DE', 'Moorman JR']",10.1371/journal.pone.0181448,2017 Aug 3,PLoS ONE,5542430,8,[],e0181448,2017 Aug 3,2017 Aug 3;12(8):e0181448,PLoS One,Cardiorespiratory dynamics measured from continuous ECG monitoring improves detection of deterioration in acute care patients: A retrospective cohort study,12,"['5433435', '5389601', '4987175', '4214112', '4026344', '4026205', '3959228', '3564961', '3311658', '3222064', '3215822', '2929127', '2259026', '1963767', '1494814']",[]
5,"{'pubmed': [], 'medline': [], 'pmid': '28824913', 'doi': '10.3389/fmed.2017.00124', 'pmcid': 'PMC5534856'}","['Lamb DG', 'Porges EC', 'Lewis GF', 'Williamson JB']",10.3389/fmed.2017.00124,2017 Jul 31,Frontiers in Medicine,5534856,,[],124,2017 Jul 31,2017 Jul 31;4:124,Front Med (Lausanne),Non-invasive Vagal Nerve Stimulation Effects on Hyperarousal and Autonomic State in Patients with Posttraumatic Stress Disorder and History of Mild Traumatic Brain Injury: Preliminary Evidence,4,"['5444191', '5024045', '4801019', '4338436', '4300857', '4299952', '4166996', '4153581', '3867662', '3648627', '3604026', '3280258', '2892750', '2627987', '2269796', '1868418', '1751174']",[]
6,"{'pubmed': [], 'medline': [], 'pmid': '28742137', 'doi': '10.1371/journal.pone.0180765', 'pmcid': 'PMC5524402'}","['Sato D', 'Yamazaki Y', 'Takahashi A', 'Uetake Y', 'Nakano S', 'Iguchi K', 'Baba Y', 'Nara R', 'Shimoyama Y']",10.1371/journal.pone.0180765,2017 Jul 24,PLoS ONE,5524402,7,[],e0180765,2017 Jul 24,2017 Jul 24;12(7):e0180765,PLoS One,Water immersion decreases sympathetic skin response during color–word Stroop test,12,"['4911218', '4301264', '3459038', '1724326']",[]
7,"{'pubmed': [], 'medline': [], 'pmid': '28790873', 'doi': '10.2147/PRBM.S91200', 'pmcid': 'PMC5530857'}","['Lieneman CC', 'Brabson LA', 'Highlander A', 'Wallace NM', 'McNeil CB']",10.2147/PRBM.S91200,2017 Jul 20,Psychology Research and Behavior Management,5530857,,[],239-256,2017 Jul 20,2017 Jul 20;10:239-256,Psychol Res Behav Manag,Parent–Child Interaction Therapy: current perspectives,10,"['5519301', '5325686', '5021353', '5012006', '4876808', '4826322', '4824803', '4788597', '4714771', '4687451', '4617599', '4586014', '4480784', '4469477', '4419735', '4342056', '4268552', '4258530', '4235747', '4228794', '4214906', '4021486', '4019441', '3922894', '3891779', '3814165', '3778122', '3640820', '3475510', '3409342', '3403961', '3393647', '3302425', '2945385', '1449434']",[]
8,"{'pubmed': [], 'medline': [], 'pmid': '28727839', 'doi': '10.1371/journal.pone.0181632', 'pmcid': 'PMC5519181'}","['Potočnik N', 'Perše M', 'Cerar A', 'Injac R', 'Finderle Ž']",10.1371/journal.pone.0181632,2017 Jul 20,PLoS ONE,5519181,7,[],e0181632,2017 Jul 20,2017 Jul 20;12(7):e0181632,PLoS One,Cardiac autonomic modulation induced by doxorubicin in a rodent model of colorectal cancer and the influence of fullerenol pretreatment,12,"['4939510', '4919077', '4769926', '4669718', '4637019', '4363998', '4134957', '4073991', '4053505', '3970013', '3896589', '3696328', '3669386', '3584310', '3330769', '3046173', '3018655', '2838086', '2679102', '296581']",[]
9,"{'pubmed': [], 'medline': [], 'pmid': '28720883', 'doi': '10.1038/s41598-017-05984-9', 'pmcid': 'PMC5515999'}","['Gomes PM', 'Sá RW', 'Aguiar GL', 'Paes MH', 'Alzamora AC', 'Lima WG', 'de Oliveira LB', 'Stocker SD', 'Antunes VR', 'Cardoso LM']",10.1038/s41598-017-05984-9,2017 Jul 18,Scientific Reports,5515999,,[],5655,2017 Jul 18,2017 Jul 18;7:5655,Sci Rep,Chronic high-sodium diet intake after weaning lead to neurogenic hypertension in adult Wistar rats,7,"['5065924', '4541693', '4532527', '4428960', '4325189', '4105387', '3966233', '3841056', '3530111', '3514876', '3253211', '3224799', '3076522', '2988504', '2856071', '2724234', '2652150', '2635570', '2598434', '2139217', '1890044']",[]
10,"{'pubmed': [], 'medline': [], 'pmid': '28679490', 'doi': '10.2196/mhealth.7208', 'pmcid': 'PMC5517820'}","['Weenk M', 'van Goor H', 'Frietman B', 'Engelen LJ', 'van Laarhoven CJ', 'Smit J', 'Bredie SJ', 'van de Belt TH']",10.2196/mhealth.7208,2017 Jul 5,JMIR mHealth and uHealth,5517820,7,[],e91,2017 Jul 5,2017 Jul 5;5(7):e91,JMIR Mhealth Uhealth,Continuous Monitoring of Vital Signs Using Wearable Devices on the General Ward: Pilot Study,5,"['5238707', '5159614', '5148808', '5081381', '5050383', '4527012', '4476665', '4442176', '4166023', '4098920', '3909075', '3673668', '3568438', '1963767', '1494826', '411089']",[]
11,"{'pubmed': [], 'medline': [], 'pmid': '28673269', 'doi': '10.1186/s12890-017-0436-0', 'pmcid': 'PMC5496256'}","['Liu Y', 'Tao T', 'Li W', 'Bo Y']",10.1186/s12890-017-0436-0,2017 Jul 3,BMC Pulmonary Medicine,5496256,,[],98,2017 Jul 3,2017 Jul 3;17:98,BMC Pulm Med,Regulating autonomic nervous system homeostasis improves pulmonary function in rabbits with acute lung injury,17,"['4856404', '4535331', '4017164', '3570456', '1892756']",[]
